middleStim,rightStim1,rightStim2,leftStim1,leftStim2,stimNum,congruent,target,whichCondition,conditionText,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,conditions.thisRepN,conditions.thisTrialN,conditions.thisN,conditions.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_rightImg1.started,prac_rightImg1.stopped,prac_rightImg2.started,prac_rightImg2.stopped,prac_leftImg1.started,prac_leftImg1.stopped,prac_leftImg2.started,prac_leftImg2.stopped,prac_fixImg.started,prac_fixImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,condition_whichCondition_text.started,condition_whichCondition_text.stopped,condition_continue_text.started,condition_continue_text.stopped,condition_keyResp.keys,condition_keyResp.rt,condition_keyResp.started,condition_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,task_centerImg.started,task_centerImg.stopped,task_rightImg1.started,task_rightImg1.stopped,task_rightImg2.started,task_rightImg2.stopped,task_leftImg1.started,task_leftImg1.stopped,task_leftImg2.started,task_leftImg2.stopped,task_fixImg.started,task_fixImg.stopped,task_stim_keyResp.keys,task_stim_keyResp.rt,task_stim_keyResp.started,task_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,id,counterbalance,session,run,date,expName,psychopyVersion,frameRate,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,,,,,,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,36.96888430000399,None,8,0.5990334999951301,46.96400110000104,None,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,53,0,right,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,2,,,,,,,,,54.7337736000045,None,1.812625250501002,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,47.58256030000484,None,8,7.129583499998262,47.58256030000484,None,56.79611210000439,57.0014003000033,56.79611210000439,57.0014003000033,56.79611210000439,57.0014003000033,56.79611210000439,57.0014003000033,56.79611210000439,57.0014003000033,56.79611210000439,None,['8'],[0.5203806999998051],56.79611210000439,None,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,54,0,left,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,3,,,,,,,,,,,1.842685370741483,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.646578800005955,58.85513070000161,58.646578800005955,58.85513070000161,58.646578800005955,58.85513070000161,58.646578800005955,58.85513070000161,58.646578800005955,58.85513070000161,58.646578800005955,58.646578800005955,['1'],[0.4918189000018174],58.646578800005955,58.646578800005955,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,51,1,right,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,0,,,,,,,,,,,1.818637274549098,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.55292870000267,60.76020419999986,60.55292870000267,60.76020419999986,60.55292870000267,60.76020419999986,60.55292870000267,60.76020419999986,60.55292870000267,60.76020419999986,60.55292870000267,60.55292870000267,['8'],[0.3435431000034441],60.55292870000267,60.55292870000267,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,52,1,left,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,1,,,,,,,,,,,1.6372745490981964,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.43837170000188,62.641825300001074,62.43837170000188,62.641825300001074,62.43837170000188,62.641825300001074,62.43837170000188,62.641825300001074,62.43837170000188,62.641825300001074,62.43837170000188,62.43837170000188,['1'],[0.3360266000017873],62.43837170000188,62.43837170000188,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,,,,,,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,64.08743460000551,None,8,3.867900200006261,74.07931850000023,None,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,53,0,right,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,2,,,,,,,,,78.36967250000453,None,1.8807615230460921,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,77.96309380000457,None,8,0.3849700999999186,77.96309380000457,None,80.43111910000152,80.63762839999981,80.43111910000152,80.63762839999981,80.43111910000152,80.63762839999981,80.43111910000152,80.63762839999981,80.43111910000152,80.63762839999981,80.43111910000152,None,['8'],[0.4372852999949828],80.43111910000152,None,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,52,1,left,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,2,0,2,0,0,1,1,1,,,,,,,,,,,1.6312625250501,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3791171000048,82.58530900000187,82.3791171000048,82.58530900000187,82.3791171000048,82.58530900000187,82.3791171000048,82.58530900000187,82.3791171000048,82.58530900000187,82.3791171000048,82.3791171000048,['1'],[0.36841239999921527],82.3791171000048,82.3791171000048,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,51,1,right,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,2,0,2,0,0,2,2,0,,,,,,,,,,,1.7575150300601203,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.08470680000028,84.2880765000009,84.08470680000028,84.2880765000009,84.08470680000028,84.2880765000009,84.08470680000028,84.2880765000009,84.08470680000028,84.2880765000009,84.08470680000028,84.08470680000028,['8'],[0.80720769999607],84.08470680000028,84.08470680000028,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,54,0,left,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,2,0,2,0,0,3,3,3,,,,,,,,,,,1.6703406813627255,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.90960060000361,86.11672879999969,85.90960060000361,86.11672879999969,85.90960060000361,86.11672879999969,85.90960060000361,86.11672879999969,85.90960060000361,86.11672879999969,85.90960060000361,85.90960060000361,['1'],[0.48994730000413256],85.90960060000361,85.90960060000361,,,,,,,,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,,,,,,social_task_trials.xlsx,Observed,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,87.58995300000242,None,8,0.9051289999988512,97.58321280000382,None,1,B,1,1,2022_Apr_13_0050,flanker-basic_v5,2021.2.3,241.79528158252316,
