middleStim,rightStim1,rightStim2,leftStim1,leftStim2,stimNum,congruent,target,whichCondition,conditionText,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,conditions.thisRepN,conditions.thisTrialN,conditions.thisN,conditions.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_rightImg1.started,prac_rightImg1.stopped,prac_rightImg2.started,prac_rightImg2.stopped,prac_leftImg1.started,prac_leftImg1.stopped,prac_leftImg2.started,prac_leftImg2.stopped,prac_fixImg.started,prac_fixImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,condition_whichCondition_text.started,condition_whichCondition_text.stopped,condition_continue_text.started,condition_continue_text.stopped,condition_keyResp.keys,condition_keyResp.rt,condition_keyResp.started,condition_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,task_centerImg.started,task_centerImg.stopped,task_rightImg1.started,task_rightImg1.stopped,task_rightImg2.started,task_rightImg2.stopped,task_leftImg1.started,task_leftImg1.stopped,task_leftImg2.started,task_leftImg2.stopped,task_fixImg.started,task_fixImg.stopped,task_stim_keyResp.keys,task_stim_keyResp.rt,task_stim_keyResp.started,task_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,finishMessage_text.started,finishMessage_text.stopped,id,counterbalance,session,run,date,expName,psychopyVersion,frameRate,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,,,,,,nonsocial_task_trials.xlsx,Alone,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,35.44012260000454,None,8,0.5297084000048926,45.43353239999851,None,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,42,1,left,nonsocial_task_trials.xlsx,Alone,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,1,,,,,,,,,46.52311520000512,None,1.5831663326653307,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,45.98391450000054,None,8,0.5135230000014417,45.98391450000054,None,48.585692200002086,48.789238999997906,48.585692200002086,48.789238999997906,48.585692200002086,48.789238999997906,48.585692200002086,48.789238999997906,48.585692200002086,48.789238999997906,48.585692200002086,None,['1'],[0.6220675000004121],48.585692200002086,None,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,43,0,right,nonsocial_task_trials.xlsx,Alone,,,,,,,,,0,0,0,0,1,0,1,0,0,1,1,2,,,,,,,,,,,1.7615230460921845,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.247629600002256,50.45009690000006,50.247629600002256,50.45009690000006,50.247629600002256,50.45009690000006,50.247629600002256,50.45009690000006,50.247629600002256,50.45009690000006,50.247629600002256,50.247629600002256,['8'],[0.4469955999957165],50.247629600002256,50.247629600002256,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,41,1,right,nonsocial_task_trials.xlsx,Alone,,,,,,,,,0,0,0,0,1,0,1,0,0,2,2,0,,,,,,,,,,,1.7404809619238477,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.076458000003186,52.28022839999903,52.076458000003186,52.28022839999903,52.076458000003186,52.28022839999903,52.076458000003186,52.28022839999903,52.076458000003186,52.28022839999903,52.076458000003186,52.076458000003186,['8'],[0.45498229999793693],52.076458000003186,52.076458000003186,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,44,0,left,nonsocial_task_trials.xlsx,Alone,,,,,,,,,0,0,0,0,1,0,1,0,0,3,3,3,,,,,,,,,,,1.5721442885771544,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.880945700002485,54.08230490000278,53.880945700002485,54.08230490000278,53.880945700002485,54.08230490000278,53.880945700002485,54.08230490000278,53.880945700002485,54.08230490000278,53.880945700002485,53.880945700002485,['1'],[0.4446146999980556],53.880945700002485,53.880945700002485,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,,,,,,nonsocial_task_trials.xlsx,Alone,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55.46381950000068,None,8,0.5421341999972356,65.46131040000182,None,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,,,,,,nonsocial_task_trials.xlsx,Alone,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,54,0,left,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,3,,,,,,,,,69.53087349999987,None,1.8386773547094188,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,66.02889040000446,None,66.02889040000446,None,8,2.7042857999986154,66.02889040000446,None,68.7537175000034,None,8,0.7525062999993679,68.7537175000034,None,71.58868079999957,71.79299300000275,71.58868079999957,71.79299300000275,71.58868079999957,71.79299300000275,71.58868079999957,71.79299300000275,71.58868079999957,71.79299300000275,71.58868079999957,None,['8'],[0.7550655999948503],71.58868079999957,None,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,52,1,left,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,0,0,0,0,0,1,1,1,,,,,,,,,,,1.625250501002004,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.49682510000275,73.70258540000214,73.49682510000275,73.70258540000214,73.49682510000275,73.70258540000214,73.49682510000275,73.70258540000214,73.49682510000275,73.70258540000214,73.49682510000275,73.49682510000275,['1'],[0.41163329999835696],73.49682510000275,73.49682510000275,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,53,0,right,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,0,0,0,0,0,2,2,2,,,,,,,,,,,1.6513026052104207,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.17013520000182,75.37466700000368,75.17013520000182,75.37466700000368,75.17013520000182,75.37466700000368,75.17013520000182,75.37466700000368,75.17013520000182,75.37466700000368,75.17013520000182,75.17013520000182,['8'],[0.457439500001783],75.17013520000182,75.17013520000182,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,51,1,right,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,0,0,0,0,0,3,3,0,,,,,,,,,,,1.9308617234468939,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.88424749999831,77.08907960000215,76.88424749999831,77.08907960000215,76.88424749999831,77.08907960000215,76.88424749999831,77.08907960000215,76.88424749999831,77.08907960000215,76.88424749999831,76.88424749999831,['8'],[0.6260744999963208],76.88424749999831,76.88424749999831,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
None,None,None,,,,,,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,78.84810390000348,None,8,0.5247189000001526,88.84045570000308,None,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,53,0,right,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,1,0,1,0,0,0,0,2,,,,,,,,,90.25163769999926,None,1.5551102204408818,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,89.38917190000211,None,8,0.8383949999988545,89.38917190000211,None,92.30928140000469,92.51171990000148,92.30928140000469,92.51171990000148,92.30928140000469,92.51171990000148,92.30928140000469,92.51171990000148,92.30928140000469,92.51171990000148,92.30928140000469,None,['8'],[0.586312799998268],92.30928140000469,None,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,52,1,left,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,1,0,1,0,0,1,1,1,,,,,,,,,,,1.6823647294589177,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.93537030000152,94.13883129999886,93.93537030000152,94.13883129999886,93.93537030000152,94.13883129999886,93.93537030000152,94.13883129999886,93.93537030000152,94.13883129999886,93.93537030000152,93.93537030000152,['1'],[0.5212344000028679],93.93537030000152,93.93537030000152,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,51,1,right,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,1,0,1,0,0,2,2,0,,,,,,,,,,,1.7314629258517034,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.68851060000452,95.89480200000253,95.68851060000452,95.89480200000253,95.68851060000452,95.89480200000253,95.68851060000452,95.89480200000253,95.68851060000452,95.89480200000253,95.68851060000452,95.68851060000452,['8'],[0.4110742000048049],95.68851060000452,95.68851060000452,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,54,0,left,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,1,0,1,0,0,3,3,3,,,,,,,,,,,1.9418837675350702,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.48647450000135,97.69166589999804,97.48647450000135,97.69166589999804,97.48647450000135,97.69166589999804,97.48647450000135,97.69166589999804,97.48647450000135,97.69166589999804,97.48647450000135,97.48647450000135,['1'],[0.4851887999975588],97.48647450000135,97.48647450000135,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
None,None,None,,,,,,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99.44207979999919,None,8,0.4719880999982706,109.4362087000045,None,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
None,None,None,,,,,,social_task_trials.xlsx,Observed,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,A,1,1,2022_Apr_13_0053,flanker-basic_v5,2021.2.3,240.46611953413552,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.91812200000277,None,,,,,,,,,
