middleStim,rightStim1,rightStim2,leftStim1,leftStim2,stimNum,congruent,target,whichCondition,conditionText,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_condition_loop.thisRepN,task_condition_loop.thisTrialN,task_condition_loop.thisN,task_condition_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_rightImg1.started,prac_rightImg1.stopped,prac_rightImg2.started,prac_rightImg2.stopped,prac_leftImg1.started,prac_leftImg1.stopped,prac_leftImg2.started,prac_leftImg2.stopped,prac_fixImg.started,prac_fixImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,condition_keyResp.keys,condition_keyResp.rt,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,task_centerImg.started,task_centerImg.stopped,task_rightImg1.started,task_rightImg1.stopped,task_rightImg2.started,task_rightImg2.stopped,task_leftImg1.started,task_leftImg1.stopped,task_leftImg2.started,task_leftImg2.stopped,task_fixImg.started,task_fixImg.stopped,task_stim_keyResp.keys,task_stim_keyResp.rt,task_stim_keyResp.started,task_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,conditionComplete_key_resp.keys,conditionComplete_key_resp.rt,id,counterbalance,session,run,date,expName,psychopyVersion,frameRate,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,3,0,right,,,0,0,0,0,2,2,10,2,,,,,,,,,,,,,,,,,,,,,,,1.5531062124248496,56.24603629997,56.44539210014045,56.24603629997,56.44539210014045,56.24603629997,56.44539210014045,56.24603629997,56.44539210014045,56.24603629997,56.44539210014045,56.24603629997,56.24603629997,['8'],56.24603629997,56.24603629997,1,[0.6435577999800444],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,1,1,right,,,0,0,0,0,2,3,11,0,,,,,,,,,,,,,,,,,,,,,,,1.5821643286573146,57.8551229997538,58.058119900058955,57.8551229997538,58.058119900058955,57.8551229997538,58.058119900058955,57.8551229997538,58.058119900058955,57.8551229997538,58.058119900058955,57.8551229997538,57.8551229997538,['8'],57.8551229997538,57.8551229997538,1,[0.6255956999957561],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,1,1,right,,,0,0,0,0,3,0,12,0,,,,,,,,,,,,,,,,,,,,,,,1.9348697394789578,59.48476380016655,59.68618729989976,59.48476380016655,59.68618729989976,59.48476380016655,59.68618729989976,59.48476380016655,59.68618729989976,59.48476380016655,59.68618729989976,59.48476380016655,59.48476380016655,['8'],59.48476380016655,59.48476380016655,1,[0.5087908999994397],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,3,0,right,,,0,0,0,0,3,1,13,2,,,,,,,,,,,,,,,,,,,,,,,1.87875751503006,61.47228639991954,61.67352700000629,61.47228639991954,61.67352700000629,61.47228639991954,61.67352700000629,61.47228639991954,61.67352700000629,61.47228639991954,61.67352700000629,61.47228639991954,61.47228639991954,['8'],61.47228639991954,61.47228639991954,1,[0.6632621004246175],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,2,1,left,,,0,0,0,0,3,2,14,1,,,,,,,,,,,,,,,,,,,,,,,1.9078156312625252,63.40045049972832,63.604284199886024,63.40045049972832,63.604284199886024,63.40045049972832,63.604284199886024,63.40045049972832,63.604284199886024,63.40045049972832,63.604284199886024,63.40045049972832,63.40045049972832,['1'],63.40045049972832,63.40045049972832,1,[0.699252899736166],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,4,0,left,,,0,0,0,0,3,3,15,3,,,,,,,,,,,,,,,,,,,,,,,1.843687374749499,65.35646210005507,65.55982659989968,65.35646210005507,65.55982659989968,65.35646210005507,65.55982659989968,65.35646210005507,65.55982659989968,65.35646210005507,65.55982659989968,65.35646210005507,65.35646210005507,['1'],65.35646210005507,65.35646210005507,1,[0.6680270996876061],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,3,0,right,,,0,0,0,0,4,0,16,2,,,,,,,,,,,,,,,,,,,,,,,1.5551102204408818,67.2503877999261,67.45145289972425,67.2503877999261,67.45145289972425,67.2503877999261,67.45145289972425,67.2503877999261,67.45145289972425,67.2503877999261,67.45145289972425,67.2503877999261,67.2503877999261,['8'],67.2503877999261,67.2503877999261,1,[0.5845872997306287],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,1,1,right,,,0,0,0,0,4,1,17,0,,,,,,,,,,,,,,,,,,,,,,,1.6142284569138277,68.85193909984082,69.05380460014567,68.85193909984082,69.05380460014567,68.85193909984082,69.05380460014567,68.85193909984082,69.05380460014567,68.85193909984082,69.05380460014567,68.85193909984082,68.85193909984082,['8'],68.85193909984082,68.85193909984082,1,[0.559756999835372],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,2,1,left,,,0,0,0,0,4,2,18,1,,,,,,,,,,,,,,,,,,,,,,,1.8577154308617234,70.51450050016865,70.71722170012072,70.51450050016865,70.71722170012072,70.51450050016865,70.71722170012072,70.51450050016865,70.71722170012072,70.51450050016865,70.71722170012072,70.51450050016865,70.51450050016865,['1'],70.51450050016865,70.51450050016865,1,[0.578244199976325],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,4,0,left,,,0,0,0,0,4,3,19,3,,,,,,,,,,,,,,,,,,,,,,,1.9268537074148295,72.41773239988834,72.62189029995352,72.41773239988834,72.62189029995352,72.41773239988834,72.62189029995352,72.41773239988834,72.62189029995352,72.41773239988834,72.62189029995352,72.41773239988834,72.41773239988834,['1'],72.41773239988834,72.41773239988834,1,[0.6719757998362184],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16003,A,1,1,2022_May_11_1511,flanker-basic_v5,2021.2.3,240.87969238054995,
